nominee_id,nominee_name,nominator_id,nominator_name,year,type
8746,"Hermann Staudinger",10509,"Reine Leimu",1952,C
8746,"Hermann Staudinger",10163,"H Wieland",1953,C
8746,"Hermann Staudinger",6646,"Costin D Nenitzescu",1941,C
8746,"Hermann Staudinger",6567,"Karl Myrbäck",1953,C
8746,"Hermann Staudinger",765,"Emil Baur",1939,C
8746,"Hermann Staudinger",7863,"R H Roschier",1953,C
8746,"Hermann Staudinger",7863,"R H Roschier",1951,C
8746,"Hermann Staudinger",7863,"R H Roschier",1952,C
8746,"Hermann Staudinger",1426,"E H Buchner",1951,C
8746,"Hermann Staudinger",10512,"H H Schlubach",1952,C
8746,"Hermann Staudinger",5021,"Paul Krais",1931,C
8746,"Hermann Staudinger",7994,"Leopold Ruzicka",1951,C
9713,"Adolf J von Baeyer",9704,"Jacob Volhard",1905,C
9713,"Adolf J von Baeyer",6694,"Rudolf Nietzki",1905,C
9713,"Adolf J von Baeyer",5554,"Adriaan Lobry de Bruyn",1904,C
9713,"Adolf J von Baeyer",823,"Robert Behrend",1905,C
9713,"Adolf J von Baeyer",2824,"Emil Erlenmeyer",1905,C
9713,"Adolf J von Baeyer",6909,"Hermann Ost",1905,C
9713,"Adolf J von Baeyer",7707,"Theodore W Richards",1905,C
9713,"Adolf J von Baeyer",7975,"Hans Rupe",1905,C
9713,"Adolf J von Baeyer",9300,"Bernhard Tollens",1903,C
9713,"Adolf J von Baeyer",8134,"Eduard Schaer",1905,C
9713,"Adolf J von Baeyer",8423,"Karl Seubert",1905,C
9713,"Adolf J von Baeyer",5467,"Carl Liebermann",1902,C
9713,"Adolf J von Baeyer",1217,"Charles J Bouchard",1903,C
9713,"Adolf J von Baeyer",3585,"Carl Graebe",1904,C
9713,"Adolf J von Baeyer",9216,"Johannes Thiele",1905,C
1428,"Eduard Buchner",9704,"Jacob Volhard",1905,C
1428,"Eduard Buchner",3904,"Carl Harries",1907,C
1428,"Eduard Buchner",9751,"Hans K von Euler-Chelpin",1907,C
6913,"Wilhelm Ostwald",9690,"Johan Vogt",1908,C
6913,"Wilhelm Ostwald",9690,"Johan Vogt",1907,C
6913,"Wilhelm Ostwald",4195,"Thorstein Hiortdahl",1907,C
6913,"Wilhelm Ostwald",4195,"Thorstein Hiortdahl",1908,C
6913,"Wilhelm Ostwald",9940,"Paul Walden",1904,C
6913,"Wilhelm Ostwald",1926,"Emil Constam",1908,C
6913,"Wilhelm Ostwald",6783,"Arthur Amos Noyes",1906,C
6913,"Wilhelm Ostwald",7707,"Theodore W Richards",1905,C
6913,"Wilhelm Ostwald",3517,"Heinrich Goldschmidt",1908,C
6913,"Wilhelm Ostwald",3517,"Heinrich Goldschmidt",1907,C
6913,"Wilhelm Ostwald",1416,"Waldemar Brögger",1907,C
6913,"Wilhelm Ostwald",1416,"Waldemar Brögger",1908,C
6913,"Wilhelm Ostwald",9237,"Hermann Thoms",1908,C
6913,"Wilhelm Ostwald",3478,"M Glasenapp",1904,C
6913,"Wilhelm Ostwald",5199,"Hans Landolt",1908,C
6913,"Wilhelm Ostwald",9563,"Jacobus H van´t Hoff",1908,C
6913,"Wilhelm Ostwald",9563,"Jacobus H van´t Hoff",1909,C
6913,"Wilhelm Ostwald",9947,"James Walker",1906,C
6913,"Wilhelm Ostwald",1314,"Georg Bredig",1909,C
6913,"Wilhelm Ostwald",511,"Svante A Arrhenius",1909,C
8926,"Frédéric Swarts",7259,"Alexander Pinkus",1932,C
8926,"Frédéric Swarts",10331,"Henri Wuyts",1932,C
8926,"Frédéric Swarts",9572,"Gustave Vavon",1932,C
8926,"Frédéric Swarts",3649,"Victor Grignard",1935,C
8926,"Frédéric Swarts",3649,"Victor Grignard",1932,C
8926,"Frédéric Swarts",9278,"Jean E Timmermans",1932,C
8926,"Frédéric Swarts",2045,"Franz Cumont",1933,C
8926,"Frédéric Swarts",1964,"Raymond Cornubert",1932,C
8926,"Frédéric Swarts",1755,"Georges Chavanne",1932,C
8926,"Frédéric Swarts",9335,"Alexandre Travers",1932,C
8926,"Frédéric Swarts",9458,"Georges Urbain",1929,C
8926,"Frédéric Swarts",2003,"Charles Courtot",1932,C
9710,"Karl von Auwers",5649,"Alfred Lottermoser",1931,C
9710,"Karl von Auwers",8228,"Roland Scholl",1931,C
9710,"Karl von Auwers",4002,"Alfred Heiduschka",1931,C
9710,"Karl von Auwers",3082,"Fritz Foerster",1931,C
7783,"Robert Robinson",8246,"Henry A Schuette",1945,C
7783,"Robert Robinson",10210,"Richard M Willstätter",1933,C
7783,"Robert Robinson",10210,"Richard M Willstätter",1935,C
7783,"Robert Robinson",10210,"Richard M Willstätter",1936,C
7783,"Robert Robinson",3957,"Sir Walter Norman Haworth",1942,C
7783,"Robert Robinson",3957,"Sir Walter Norman Haworth",1947,C
7783,"Robert Robinson",3957,"Sir Walter Norman Haworth",1940,C
7783,"Robert Robinson",3957,"Sir Walter Norman Haworth",1946,C
7783,"Robert Robinson",3957,"Sir Walter Norman Haworth",1939,C
7783,"Robert Robinson",3957,"Sir Walter Norman Haworth",1938,C
7783,"Robert Robinson",7631,"Tadeus Reichstein",1942,C
7783,"Robert Robinson",7631,"Tadeus Reichstein",1944,C
7783,"Robert Robinson",7631,"Tadeus Reichstein",1940,C
7783,"Robert Robinson",2111,"Sir Henry Hallett Dale",1947,C
7783,"Robert Robinson",2111,"Sir Henry Hallett Dale",1938,C
7783,"Robert Robinson",7994,"Leopold Ruzicka",1946,C
