nominee_name	Sum - n_nominations	Count - nominator_name	Min - nominee_NP_C
Paul Hugh Emmett	1	1	0
Paul J Flory	14	12	0
Paul Job	1	1	0
Paul Karrer	28	21	1
Paul L Kirk	1	1	0
Paul Läuger	1	1	0
Paul M Lebeau	1	1	0
Paul Niggli	4	4	0
Paul Rabe	1	1	0
Paul Sabatier	9	7	1
Paul V Pascal	6	4	0
Paul Walden	9	8	0
Pehr Victor Edman	2	1	0
Percy W Bridgman	1	1	0
Peter Klason	4	3	0
Peter L Pauson	2	2	0
Petrus J Debye	14	12	1
Philip H Abelson	1	1	0
Philippe Barbier	3	2	0
Philippe-Auguste Guye	18	8	0
Phoebus A Levene	1	1	0
Piero Ginori-Conti	1	1	0
Pierre E Martin	2	2	0
Pierre Jacquet	2	1	0
Pierre Van Rysselberghe	1	1	0
R C Valentine	1	1	0
R Calas	1	1	0
R M Barrer	1	1	0
Ralph Walter G Wyckoff	4	4	0
Raphael Consden	2	2	0
René Wurmser	1	1	0
Richard A Zsigmondy	11	9	1
Richard Alan Morton	1	1	0
Richard Kuhn	8	6	1
Richard L M Synge	3	1	1
Richard M Willstätter	28	20	1
Robert B Corey	3	2	0
Robert Bruce Merrifield	18	16	0
Robert Burns Woodward	111	70	1
Robert L Platzman	1	1	0
Robert Robinson	51	32	1
Robert Sanderson Mulliken	23	15	1
Robert Schwyzer	3	1	0
Robert William Holley	8	7	0
Roberto Piontelli	2	2	0
Robley Cook Williams	5	5	0
Roger Adams	10	7	0
Roger J Williams	3	3	0
Rolf Huisgen	1	1	0
Ronald George Wreyford Norrish	8	8	1
Rowland Pettit	1	1	0
Rudolf Criegee	7	2	0
Rudolf Hoppe	3	2	0
Rudolf Knietsch	1	1	0
Rudolf Schoenheimer	1	1	0
Rudolph A Peters	2	2	0
S A Geigy	1	1	0
S Datz	1	1	0
S G Mason	1	1	0
Sachachiro Hata	1	1	0
Salomon S Cohen	1	1	0
Samuel C Lind	1	1	0
Samuel Eyde	8	5	0
San-ichiro Mizushima	10	8	0
Saul Winstein	25	20	0
Selman A Waksman	2	1	0
Sergei [Sergey] N Winogradsky [Winogradskiy Vinogradskiy Vinogradsky]	2	2	0
Severo Ochoa	7	4	0
Sir Alexander Robertus Todd	21	18	1
Sir Christopher Kelk Ingold	112	78	0
Sir Cyril Norman Hinshelwood	12	9	1
Sir Eric Keightley Rideal	1	1	0
Sir Ernest Lawrence Kennaway	2	2	0
Sir Francis E Simon	2	1	0
Sir Frederick G Hopkins	1	1	0
Sir Ian Morris Heilbron	5	3	0
Sir James Dewar	3	2	0
Sir Walter Norman Haworth	16	13	1
Sir William Henry Bragg	1	1	0
Sir William Ramsay	30	25	1
Sol Spiegelmann	7	6	0
Sophus M Jörgensen	2	2	0
Sören P Sörensen	19	12	0
Stanford Moore	4	4	0
Stanislao Cannizzaro	3	3	0
Stanley Bruckenstein	1	1	0
Stephen Brunauer	1	1	0
Stig M Claesson	1	1	0
Sune K Bergström	1	1	0
Svante A Arrhenius	20	13	1
T R Seshadri	2	2	0
T Yabuta	1	1	0
Tadeus Reichstein	15	10	0
Tadeusz Urbański	1	1	0
Tetsuo Nozoe	1	1	0
Theodor Curtius	31	21	0
Theodor Förster	1	1	0
Theodor Svedberg	11	9	1
Theodor Zincke	1	1	0
Theodore W Richards	33	17	1
Thérèse Tréfouël	1	1	0
Torbjörn O Caspersson	1	1	0
Ulick Richardson Evans 	1	1	0
Umetaro Suzuki	2	2	0
Victor Grignard	7	5	1
Victor Henri	1	1	0
Victor M Goldschmidt	11	9	0
Vincent du Vigneaud	30	27	1
Vladimir N Ipatieff	10	8	0
Vladimir Prelog	40	28	0
W Hückel	1	1	0
W Jost	1	1	0
W Kirmse	1	1	0
Walter H Schottky	4	3	0
Walter Heinrich Heitler	9	7	0
Walter Hieber	6	5	0
Walter Houser Brattain	1	1	0
Walter Noddack	9	6	0
Walter Reppe	64	34	0
Walther H Nernst	76	52	1
Walther Kossel	1	1	0
Walthère Spring	1	1	0
Wendell M Latimer	1	1	0
Wendell M Stanley	13	7	1
Werner Kuhn	18	10	0
Werner Schulemann	1	1	0
Wilhelm Gerhard Burgers	1	1	0
Wilhelm Ostwald	20	15	1
Wilhelm Schlenk	5	4	0
Willard Frank Libby	28	19	1
William A Bone	1	1	0
William C Rose	7	6	0
William Crookes	6	4	0
William D Harkins	1	1	0
William F Giauque	14	9	1
William G Pfann	8	6	0
William H Perkin Jr	15	11	0
William Howard Stein	4	4	0
William Hume-Rothery	2	1	0
William J Pope	3	3	0
William Küster	2	2	0
William von Eggers Doering	3	3	0
Wojciech Swiętosławski	15	14	0
Wolcott Gibbs	1	1	0
Y Sumiki	1	1	0
Yasuhiko Asahina	2	2	0
Yevgeny Konstantinovich Zavoisky	2	2	0
Yoshiyuki Toyama	2	2	0
Zdenko H Skraup	1	1	0
