_id,first_nomin_y,last_nomin_y,range_y,n_nominations,nominator_NP,nominator_id,nominator_name,nominee_NP,nominee_id,nominee_name,nominee_NP_C
633db536c1ae1691ad071918,1905,1905,0,1,,9704,Jacob Volhard,C in 1907|,1428,Eduard Buchner,1
633db536c1ae1691ad071919,1907,1907,0,1,,3904,Carl Harries,C in 1907|,1428,Eduard Buchner,1
633db536c1ae1691ad07191a,1907,1907,0,1,C in 1929|,9751,Hans K von Euler-Chelpin,C in 1907|,1428,Eduard Buchner,1
633db536c1ae1691ad07197d,1908,1908,0,1,,10150,Oskar Widman,C in 1908|,5627,Ernest Lord Rutherford,1
633db536c1ae1691ad07197e,1908,1908,0,1,,10041,Rudolf Wegscheider,C in 1908|,5627,Ernest Lord Rutherford,1
633db536c1ae1691ad07197c,1907,1908,1,2,C in 1903|,511,Svante A Arrhenius,C in 1908|,5627,Ernest Lord Rutherford,1
633db536c1ae1691ad07191d,1904,1904,0,1,,9940,Paul Walden,C in 1909|,6913,Wilhelm Ostwald,1
633db536c1ae1691ad07191e,1908,1908,0,1,,1926,Emil Constam,C in 1909|,6913,Wilhelm Ostwald,1
633db536c1ae1691ad07191f,1906,1906,0,1,,6783,Arthur Amos Noyes,C in 1909|,6913,Wilhelm Ostwald,1
633db536c1ae1691ad071920,1905,1905,0,1,C in 1914|,7707,Theodore W Richards,C in 1909|,6913,Wilhelm Ostwald,1
633db536c1ae1691ad071923,1908,1908,0,1,,9237,Hermann Thoms,C in 1909|,6913,Wilhelm Ostwald,1
633db536c1ae1691ad071924,1904,1904,0,1,,3478,M Glasenapp,C in 1909|,6913,Wilhelm Ostwald,1
633db536c1ae1691ad071925,1908,1908,0,1,,5199,Hans Landolt,C in 1909|,6913,Wilhelm Ostwald,1
633db536c1ae1691ad071927,1906,1906,0,1,,9947,James Walker,C in 1909|,6913,Wilhelm Ostwald,1
633db536c1ae1691ad071928,1909,1909,0,1,,1314,Georg Bredig,C in 1909|,6913,Wilhelm Ostwald,1
633db536c1ae1691ad071929,1909,1909,0,1,C in 1903|,511,Svante A Arrhenius,C in 1909|,6913,Wilhelm Ostwald,1
633db536c1ae1691ad07191b,1907,1908,1,2,,9690,Johan Vogt,C in 1909|,6913,Wilhelm Ostwald,1
633db536c1ae1691ad07191c,1907,1908,1,2,,4195,Thorstein Hiortdahl,C in 1909|,6913,Wilhelm Ostwald,1
633db536c1ae1691ad071921,1907,1908,1,2,,3517,Heinrich Goldschmidt,C in 1909|,6913,Wilhelm Ostwald,1
633db536c1ae1691ad071922,1907,1908,1,2,,1416,Waldemar Brögger,C in 1909|,6913,Wilhelm Ostwald,1
633db536c1ae1691ad071926,1908,1909,1,2,C in 1901|,9563,Jacobus H van´t Hoff,C in 1909|,6913,Wilhelm Ostwald,1
633db537c1ae1691ad071bf6,1910,1910,0,1,,521,Ossian Aschan,C in 1910|,9953,Otto Wallach,1
633db537c1ae1691ad071bf7,1908,1908,0,1,,4119,Josef Herzig,C in 1910|,9953,Otto Wallach,1
633db537c1ae1691ad071bf8,1907,1907,0,1,,7121,William H Perkin Jr,C in 1910|,9953,Otto Wallach,1
633db537c1ae1691ad071bf9,1910,1910,0,1,,9300,Bernhard Tollens,C in 1910|,9953,Otto Wallach,1
633db537c1ae1691ad071bfa,1908,1908,0,1,,7260,Adolf Pinner,C in 1910|,9953,Otto Wallach,1
633db539c1ae1691ad0720a0,1909,1909,0,1,,3812,Albin Haller,C in 1912|,8017,Paul Sabatier,1
633db539c1ae1691ad0720a1,1911,1911,0,1,C in 1907|,1428,Eduard Buchner,C in 1912|,8017,Paul Sabatier,1
633db539c1ae1691ad0720a3,1907,1907,0,1,C in 1906|,6352,Henri Moissan,C in 1912|,8017,Paul Sabatier,1
633db539c1ae1691ad0720a4,1912,1912,0,1,,10150,Oskar Widman,C in 1912|,8017,Paul Sabatier,1
633db539c1ae1691ad0720a5,1909,1909,0,1,,5367,Georges Lemoine,C in 1912|,8017,Paul Sabatier,1
633db539c1ae1691ad0720a2,1928,1929,1,2,,1513,Eyvind Bödtker,C in 1912|,8017,Paul Sabatier,1
633db539c1ae1691ad07209f,1907,1912,5,2,,2132,Gaston Darboux,C in 1912|,8017,Paul Sabatier,1
633db536c1ae1691ad071980,1906,1906,0,1,,4977,Gustaf Komppa,C in 1912|,3649,Victor Grignard,1
633db536c1ae1691ad071981,1928,1928,0,1,,1513,Eyvind Bödtker,C in 1912|,3649,Victor Grignard,1
633db536c1ae1691ad071982,1906,1906,0,1,,5578,Oscar Loew,C in 1912|,3649,Victor Grignard,1
