nominee_id,nominee_name,year_NP,n nomin,range,NP
10580,Martin Deutsch,None,1,0,0
6318,Alfred E Mirsky,None,1,0,0
15680,Tetsuo Nozoe,None,1,0,0
15668,Joseph Chatt,None,1,0,0
13367,E F Terroine,None,1,0,0
15610,M Delhaye,None,1,0,0
15600,Rowland Pettit,None,1,0,0
15593,E Stahl,None,1,0,0
13933,Hermann Mark,None,1,0,0
15670,George Simms Hammond,None,1,0,0
15671,Aleksandr Nikolaevich Terenin,None,1,0,0
14307,H H Classen,None,1,0,0
13462,Öjvind Winge,None,1,0,0
14660,Stephen Brunauer,None,1,0,0
14661,Paul Hugh Emmett,None,1,0,0
14662,Edward Teller,None,1,0,0
4913,A J Kluyver,None,1,0,0
10802,Maurice-Marie M Janot,None,1,0,0
15662,J W Boag,None,1,0,0
15663,E J Hart,None,1,0,0
15664,Robert L Platzman,None,1,0,0
